,name,type,category,price,datakey,url
2119,[Chuyên đề] - CĐ ÔN THI THPT - Soạn bởi nhóm giáo viên sư phạm (HOT).zip,ngu-van-12,ngu-van-tieng-viet,299000,4338,https://drive.google.com/drive/folders/1scfRYf1oj-Bo18gBAOi4yYxLtf86sOX5?usp=sharing
2120,[Bài tập] - 1000 bài tập môn Ngữ Văn - chọn lọc theo chuyên đề _ dạng (File word có lời giải).zip,ngu-van-12,ngu-van-tieng-viet,199000,4337,https://drive.google.com/file/d/1qoAF8h7F3EqYalWCPETXWSJtMiRJVMLC/view?usp=drive_link
2121,Bộ 15 đề thi giữa kì 1 Ngữ văn 11 - Chân Trời Sáng Tạo.zip,ngu-van-11,ngu-van-tieng-viet,250000,26173,https://drive.google.com/open?id=1Wtj-KnSRVj6mOyzUNSg3ohIRNmoTXP55&usp=drive_copy
2122,Bộ 15 đề thi giữa kì 1 Ngữ văn 11 - Kết Nối Tri Thức.zip,ngu-van-11,ngu-van-tieng-viet,250000,26172,https://drive.google.com/open?id=1-o9QREJI-gAueq5OZB2lmbqOz3ziY1--&usp=drive_copy
2123,Bộ 15 đề thi giữa kì 1 Ngữ văn 11 - Cánh diều.zip,ngu-van-11,ngu-van-tieng-viet,250000,26171,https://drive.google.com/open?id=1C480ooxQVknSabla0XTI7RQkyTRFjXBQ&usp=drive_copy
2124,CHUYÊN ĐỀ DẠY THÊM NGỮ VĂN 11 MỚI ( dùng chung 3 sách ).zip,ngu-van-11,ngu-van-tieng-viet,499000,12295,https://drive.google.com/drive/folders/14FBC_vuzJgo_wd4PBqtsod7-KvAv9LD_?usp=sharing
2125,Giáo án KHBD + Power Point tích hợp NGỮ VĂN 11 cả năm (KẾT NỐI TRI THỨC),ngu-van-11,ngu-van-tieng-viet,499000,10923,https://drive.google.com/drive/folders/1eftEIdpO5yb_pVNaH7zhND3-ZBcc-QLs?usp=drive_link
2126,Giáo án KHBD + Power Point tích hợp NGỮ VĂN 11 cả năm (CÁNH DIỀU),ngu-van-11,ngu-van-tieng-viet,499000,10922,https://drive.google.com/drive/folders/1X-V9-Se0MgyI-v0asvTAfZAR1t54UWun?usp=drive_link
2127,Giáo án KHBD + Power Point tích hợp NGỮ VĂN 11 cả năm (CHÂN TRỜI SÁNG TẠO),ngu-van-11,ngu-van-tieng-viet,499000,10845,https://drive.google.com/drive/u/0/folders/158OHy29LrfGyrUa8UH9OIezNqF_Xb-DN
2128,[Chuyên đề] - CĐ VĂN 11 - Soạn bởi nhóm giáo viên sư phạm (HOT).zip,ngu-van-11,ngu-van-tieng-viet,199000,4339,https://drive.google.com/drive/folders/129i0glYLftDrpsQkrupK2be-QLGS57xg?usp=sharing
2129,Giáo án 5512 cả năm 2021-2022 môn NGỮ VĂN lớp 11 (Bản word).zip,ngu-van-11,ngu-van-tieng-viet,199000,4555,https://drive.google.com/drive/folders/1XJ4oWN_85056ntp9Lz9aQzvVAWQA-ENj?usp=sharing
2130,Bộ 15 đề thi giữa kì 1 Ngữ Văn 10 - KẾT NỐI TRI THỨC,ngu-van-10,ngu-van-tieng-viet,299000,26115,https://drive.google.com/open?id=12x_X9FxJLmGvP_9UsvKSNlgTD_oG751l&usp=drive_copy
2131,Bộ 15 đề thi giữa kì 1 Ngữ Văn 10 - CÁNH DIỀU,ngu-van-10,ngu-van-tieng-viet,299000,26114,https://drive.google.com/open?id=1CSwcSyC1iZ_FBViU5rs-QY84Z_nI8uY3&usp=drive_copy
2132,Bộ 15 đề thi giữa kì 1 Ngữ Văn 10 - CHÂN TRỜI SÁNG TẠO,ngu-van-10,ngu-van-tieng-viet,299000,26113,https://drive.google.com/open?id=1Jm5gIBp-_JXKybm433kbcLC0gaDRVTHT&usp=drive_copy
2133,TÀI LIỆU DẠY THÊM ÔN TẬP VĂN 10 MỚI (DÙNG CHUNG 3 SÁCH).docx,ngu-van-10,ngu-van-tieng-viet,250000,13998,https://drive.google.com/file/d/1zYvo1PTlb4QXP4PXi6fIKxJYkRTMD4lg/view?usp=drive_link
2134,Giáo án word KHBD + Power Point tích hợp NGỮ VĂN 10 cả năm (CHÂN TRỜI SÁNG TẠO),ngu-van-10,ngu-van-tieng-viet,499000,10959,https://drive.google.com/drive/folders/1wPp5MCzz-XABfEFfVNOV1hQVeLKYqJfh?usp=drive_link
2135,Giáo án word KHBD + Power Point tích hợp NGỮ VĂN 10 cả năm (CÁNH DIỀU),ngu-van-10,ngu-van-tieng-viet,499000,10948,https://drive.google.com/drive/folders/1xpzAYDhU9Bdp34ws0J3ADeH3LNbFhGwE?usp=drive_link
2136,Giáo án word KHBD + Power Point tích hợp NGỮ VĂN 10 cả năm (KẾT NỐI TRI THỨC),ngu-van-10,ngu-van-tieng-viet,499000,10937,https://drive.google.com/drive/folders/1H_RTa99s3DVCkxxSYXYRozh0ce70uPKy?usp=drive_link
2137,[Chuyên đề] - CĐ VĂN 10 - Soạn bởi nhóm giáo viên sư phạm (HOT).zip,ngu-van-10,ngu-van-tieng-viet,199000,4340,https://drive.google.com/drive/folders/1wnb_H6QXeJlt7vYnlBYxBwR_nUzKZf6L?usp=sharing
2138,Giáo án 5512 cả năm 2021-2022 môn NGỮ VĂN lớp 10 (Bản word).zip,ngu-van-10,ngu-van-tieng-viet,199000,4556,https://drive.google.com/drive/folders/12FuI2M5BiZtzIlc05Hhei0eBYO7OrUwT?usp=sharing
2139,KHBD GIÁO ÁN WORD DẠY THÊM – NGỮ VĂN 9 - CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],ngu-van-9,ngu-van-tieng-viet,399000,20942,https://drive.google.com/drive/folders/1AXs0PqBLFGeVHRFponiekqiJ-yqXCo4_?usp=drive_link
2140,KHBD GIÁO ÁN WORD CHÍNH KHÓA – NGỮ VĂN 9 - CẢ NĂM - [KẾT NỐI TRI THỨC],ngu-van-9,ngu-van-tieng-viet,399000,20948,https://drive.google.com/drive/folders/19zbnEovehBs94X3LTlLefPH4_l4YCQmh?usp=drive_link
2141,POWER POINT CHÍNH KHÓA – NGỮ VĂN 9 - CẢ NĂM - [KẾT NỐI TRI THỨC],ngu-van-9,ngu-van-tieng-viet,399000,20947,https://drive.google.com/drive/folders/1czyR81FA2tXem1Dix8TPSme3cD-84KVN?usp=drive_link
2142,KHBD GIÁO ÁN WORD DẠY THÊM – NGỮ VĂN 9 - CẢ NĂM - [KẾT NỐI TRI THỨC],ngu-van-9,ngu-van-tieng-viet,399000,20946,https://drive.google.com/drive/folders/1hH5buoDgsyC37CjXWjoI6jsN919YCE4k?usp=drive_link
2143,POWER POINT DẠY THÊM – NGỮ VĂN 9 - CẢ NĂM - [KẾT NỐI TRI THỨC],ngu-van-9,ngu-van-tieng-viet,399000,20945,https://drive.google.com/drive/folders/16IQYpRzk6W7TJ7ACYOT5XuA9fTQgwciA?usp=drive_link
2144,KHBD GIÁO ÁN WORD CHÍNH KHÓA – NGỮ VĂN 9 - CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],ngu-van-9,ngu-van-tieng-viet,399000,20944,https://drive.google.com/drive/folders/1h22pDLrARtNE8mH_P6jJVZC_8CiHpCbq?usp=drive_link
2145,POWER POINT CHÍNH KHÓA – NGỮ VĂN 9 - CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],ngu-van-9,ngu-van-tieng-viet,399000,20943,https://drive.google.com/drive/folders/19YipCnvhw1C5tUk7wvEZevrrW5K9zRhu
2146,POWER POINT DẠY THÊM – NGỮ VĂN 9 - CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],ngu-van-9,ngu-van-tieng-viet,399000,20941,https://drive.google.com/drive/folders/1pD1Y_PqdB1G2z4xQdtNaKEMRbL038Lus?usp=drive_link
2147,KHBD GIÁO ÁN WORD CHÍNH KHÓA – NGỮ VĂN 9 - CẢ NĂM - [CÁNH DIỀU],ngu-van-9,ngu-van-tieng-viet,399000,20940,https://drive.google.com/drive/folders/1Xb2NSLYIdsAEfxgmYLDPov0ozGNB7HOP?usp=drive_link
2148,POWER POINT CHÍNH KHÓA – NGỮ VĂN 9 - CẢ NĂM - [CÁNH DIỀU],ngu-van-9,ngu-van-tieng-viet,399000,20939,https://drive.google.com/drive/folders/1u9qKKN67OcXbhUsNsBzFpPjBm-y9V1-3?usp=drive_link
2149,KHBD GIÁO ÁN WORD DẠY THÊM – NGỮ VĂN 9 - CẢ NĂM - [CÁNH DIỀU],ngu-van-9,ngu-van-tieng-viet,399000,20938,https://drive.google.com/drive/folders/1nf14uUsAhm-d1cQxbVym9rFiqYIaQHTx?usp=drive_link
2150,POWER POINT DẠY THÊM – NGỮ VĂN 9 - CẢ NĂM - [CÁNH DIỀU],ngu-van-9,ngu-van-tieng-viet,399000,20937,https://drive.google.com/drive/folders/1p780Z70XXRK6Ugu6P6KcbmnXHcp-t33I?usp=drive_link
2154,[Chuyên đề] - CĐ VĂN 9 - Soạn bởi nhóm giáo viên sư phạm (HOT).zip,ngu-van-9,ngu-van-tieng-viet,199000,4471,https://drive.google.com/drive/folders/1xqd3qsUP9jU0wyVTPM8DYNoSBycLfKR7?usp=sharing
2155,POWER POINT CHÍNH KHÓA – NGỮ VĂN 8 - CẢ NĂM - [CÁNH DIỀU],ngu-van-8,ngu-van-tieng-viet,399000,35570,https://drive.google.com/drive/folders/1kVXjHyi8atmJeHnBnIO1-bpYY7plWrBv
2156,Chuyên đề môn NGỮ VĂN 7 - KẾT NỐI TRI THỨC.docx,ngu-van-7,ngu-van-tieng-viet,99000,10721,https://drive.google.com/file/d/1siVi8hpCM8ujhAojkwZcWhIzeyyCyTle/view
2157,Chuyên đề môn NGỮ VĂN 7 - BỘ CÁNH DIỀU.docx,ngu-van-7,ngu-van-tieng-viet,99000,10720,https://drive.google.com/file/d/1STJKws_DXyVSRHjYfPM6FoY-C6FbTL-C/view?usp=sharing
2158,CHUYÊN ĐỀ ÔN TẬP VĂN HÈ 7 LÊN 8 (2022-2023).docx,ngu-van-7,ngu-van-tieng-viet,199000,10724,https://drive.google.com/file/d/1xuVGhNYQYwxLiEaNBAAegtZVrFf4QIh4/view?usp=sharing
2159,20 ĐỀ THI HỌC SINH GIỎI NGỮ VĂN 7 (tổng hợp và sưu tầm).docx,ngu-van-7,ngu-van-tieng-viet,59000,10719,https://drive.google.com/file/d/1HJnzcnrbBMVtDbGqLxOuq34-dTPiHt0Q/view?usp=sharing
2160,VĂN 6 CTST - CHUYÊN ĐỀ ÔN TẬP.docx,ngu-van-6,ngu-van-tieng-viet,150000,11294,https://drive.google.com/file/d/1oqqRQ8Bn-5sp-D5b_qeL3PqY1qDCTERV/view?usp=drive_link
2162,Chuyên đề ôn tập hè 6 lên 7 (dùng chung KNTT-CD-CTST).doc,ngu-van-6,ngu-van-tieng-viet,199000,10723,https://drive.google.com/file/d/1oTVsTyyJKYVbcun5BFvIWs3BabmA0uGe/view?usp=sharing
2163,CHUYÊN ĐỀ ÔN HÈ TIẾNG VIỆT LỚP 5 - LÊN 6.docx,tieng-viet-5,ngu-van-tieng-viet,59000,10715,https://drive.google.com/file/d/1I6wp7BvsDLmCYWsVUsCWIHozz_KRS7b_/view?usp=sharing
2164,ĐỀ ÔN CẤP TỐC VÀO LỚP 6 - TIẾNG VIỆT.zip,tieng-viet-5,ngu-van-tieng-viet,99000,10520,https://drive.google.com/drive/folders/1cWkxDRJYwCVfbZswysSXaEgFd9TjOE4f?usp=sharing
2165,Bộ 10 đề thi giữa kì 1 Tiếng Việt lớp 5 Cánh diều - 2024-2025 (Ma trận + Lời giải).docx,tieng-viet-5,ngu-van-tieng-viet,150000,25503,https://docs.google.com/file/d/1TPYhAUgdeNWA9q1wGkXAMr3luiVUEs8q/edit?usp=drive_link&ouid=114375402485569398781&rtpof=true&sd=true
2166,Bộ 10 đề thi giữa kì 1 Tiếng Việt lớp 5 Chân trời sáng tạo - 2024-2025 (Ma trận + Lời giải).docx,tieng-viet-5,ngu-van-tieng-viet,150000,25502,https://docs.google.com/file/d/1Cr46zcOpVgCFvSaA6ioEbj7Mz-8C7mc_/edit?usp=drive_link&ouid=114375402485569398781&rtpof=true&sd=true
2167,Bộ 10 đề thi giữa kì 1 Tiếng Việt lớp 5 Kết nối tri thức - 2024-2025 (Ma trận + Lời giải).docx,tieng-viet-5,ngu-van-tieng-viet,150000,25501,https://docs.google.com/file/d/1gXwGlrFJxVDlgBilhsGlLY_1NULB4Er7/edit?usp=drive_link&ouid=114375402485569398781&rtpof=true&sd=true
2168,KHBD GIÁO ÁN WORD CHÍNH KHÓA – TIẾNG VIỆT 5 - CẢ NĂM - [KẾT NỐI TRI THỨC],tieng-viet-5,ngu-van-tieng-viet,299000,21020,https://drive.google.com/open?id=1pi3JQTvnVXI5PVcLikqTne0_nPJDJeiN&usp=drive_copy
2169,POWER POINT CHÍNH KHÓA – TIẾNG VIỆT 5 - CẢ NĂM - [KẾT NỐI TRI THỨC],tieng-viet-5,ngu-van-tieng-viet,299000,21019,https://drive.google.com/open?id=1PGwNcRF5oqv8al1vymehrdPr-MapyrdR&usp=drive_copy
2170,KHBD GIÁO ÁN WORD DẠY THÊM – TIẾNG VIỆT 5 - CẢ NĂM - [KẾT NỐI TRI THỨC],tieng-viet-5,ngu-van-tieng-viet,299000,21018,https://drive.google.com/open?id=11pCdSGZJDGnrv2dlPxk7j6JutK9boynN&usp=drive_copy
2171,POWER POINT DẠY THÊM – TIẾNG VIỆT 5 - CẢ NĂM - [KẾT NỐI TRI THỨC],tieng-viet-5,ngu-van-tieng-viet,299000,21017,https://drive.google.com/open?id=1z-HxuJMQLR0MfL9KokE8hYPrWXp3Xaqi&usp=drive_copy
2172,KHBD GIÁO ÁN WORD CHÍNH KHÓA – TIẾNG VIỆT 5 - CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],tieng-viet-5,ngu-van-tieng-viet,299000,21016,https://drive.google.com/open?id=1jjIsNeH3cu7HUxwWV7iFLwCs9Ub1xtm6&usp=drive_copy
2173,POWER POINT CHÍNH KHÓA – TIẾNG VIỆT 5 - CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],tieng-viet-5,ngu-van-tieng-viet,299000,21015,https://drive.google.com/open?id=10-zY8KTxWkxzEzNEVfPkTjMtHYz0d5jb&usp=drive_copy
2174,KHBD GIÁO ÁN WORD DẠY THÊM – TIẾNG VIỆT 5 - CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],tieng-viet-5,ngu-van-tieng-viet,299000,21014,https://drive.google.com/open?id=10Qkv5L4ZihQV1EOQGI1D6ZX7Y63Qk9aO&usp=drive_copy
2175,POWER POINT DẠY THÊM – TIẾNG VIỆT 5 - CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],tieng-viet-5,ngu-van-tieng-viet,299000,21013,https://drive.google.com/open?id=1M2f5eSFJxaKSDJByvFUva2uDxenLC2zX&usp=drive_copy
2176,KHBD GIÁO ÁN WORD CHÍNH KHÓA – TIẾNG VIỆT 5 - CẢ NĂM - [CÁNH DIỀU],tieng-viet-5,ngu-van-tieng-viet,299000,21012,https://drive.google.com/open?id=1YCDO0HiX3mLR5O-kXwGBtSwGZlTHDVgF&usp=drive_copy
2177,POWER POINT CHÍNH KHÓA – TIẾNG VIỆT 5 - CẢ NĂM - [CÁNH DIỀU],tieng-viet-5,ngu-van-tieng-viet,299000,21011,https://drive.google.com/open?id=1n_mdXfPtI-hJirLNtLil2saOvWHDOUeh&usp=drive_copy
2178,KHBD GIÁO ÁN WORD DẠY THÊM – TIẾNG VIỆT 5 - CẢ NĂM - [CÁNH DIỀU],tieng-viet-5,ngu-van-tieng-viet,299000,21010,https://drive.google.com/open?id=1odYPOBDcCERAPCu7BN1XejI_cVLZstVd&usp=drive_copy
2179,POWER POINT DẠY THÊM – TIẾNG VIỆT 5 - CẢ NĂM - [CÁNH DIỀU],tieng-viet-5,ngu-van-tieng-viet,299000,21009,https://drive.google.com/open?id=1Ik-t7ySuE5mfbBIGv5BMcutytjsEWsxE&usp=drive_copy
2181,CHUYÊN ĐỀ ÔN HÈ TIẾNG VIỆT LỚP 4 - LÊN 5.doc,tieng-viet-4,ngu-van-tieng-viet,59000,10714,https://drive.google.com/file/d/1P1grdJzg1H56BGsivTV5mVok8ywIO-nw/view?usp=sharing
2182,CHUYÊN ĐỀ ÔN HÈ TIẾNG VIỆT LỚP 3 - LÊN 4.doc,tieng-viet-3,ngu-van-tieng-viet,59000,10713,https://drive.google.com/file/d/1dtx1ZKKZBBG8bZVWGKVW9eTmmxLXMsJy/view?usp=sharing
2183,POWER POINT MÔN TIẾNG VIỆT 3 CÁNH DIỀU (Theo tuần).zip,tieng-viet-3,ngu-van-tieng-viet,199000,12347,https://drive.google.com/drive/folders/1FeLQxrM7yVhHSZaOQBWLO8v38UeqiVmP?usp=drive_link
2184,CHUYÊN ĐỀ ÔN HÈ TIẾNG VIỆT LỚP 2 - LÊN 3.doc,tieng-viet-2,ngu-van-tieng-viet,59000,10712,https://drive.google.com/file/d/1nFFAaIdR1vIb0vxFyHCxa_ILB0pJq8MY/view?usp=sharing
2185,CHUYÊN ĐỀ ÔN HÈ TIẾNG VIỆT LỚP 1 - LÊN 2.doc,tieng-viet-1,ngu-van-tieng-viet,59000,10711,https://drive.google.com/file/d/1V78LE0SA22yQF6Tw0BKwYHWGcu2nuQQH/view?usp=sharing
2186,POWER POINT CHÍNH KHÓA – SINH HỌC 12- CẢ NĂM - [KẾT NỐI TRI THỨC],sinh-hoc-12,sinh-hoc,499000,31296,https://drive.google.com/drive/folders/1L2LLprzT2mH5NH2n5KfD-t1UowO84ya-?usp=drive_link
2187,"BỘ BÀI TẬP SINH HỌC 12 HK2 FORM MỚI 2025 - ĐÚNG SAI, TRẢ LỜI NGẮN, TN (Dùng chung 3 sách)",sinh-hoc-12,sinh-hoc,499000,29075,https://drive.google.com/drive/folders/1K58_8T2PoJtxf1E0BJ9gfnB15_StRL5G?usp=drive_link
2188,"BỘ BÀI TẬP SINH HỌC 12 HK1 FORM MỚI 2025 - ĐÚNG SAI, TRẢ LỜI NGẮN, TN (Dùng chung 3 sách)",sinh-hoc-12,sinh-hoc,499000,23711,https://drive.google.com/drive/folders/1fLsKh3ewSQmZhD9EN_akWXSTT5mRWYqc?usp=drive_link
2189,GÓI ÔN LUYỆN TRẮC NGHIỆM THI TỐT NGHIỆP THPT FORM NĂM 2025 - MÔN SINH HỌC (Theo Chương trình giáo dục phổ thông 2018).zip,sinh-hoc-12,sinh-hoc,399000,21758,https://drive.google.com/drive/folders/1ypzRcjBOPROMWozjHDdLELw9GMwRoOg_?usp=drive_link
2190,KHBD GIÁO ÁN WORD CHÍNH KHÓA – SINH HỌC 12- CẢ NĂM - [KẾT NỐI TRI THỨC],sinh-hoc-12,sinh-hoc,399000,20414,https://drive.google.com/drive/folders/1D9kc9C_tWBmxQoyNr6u_gJnyrXLAQdqm?usp=drive_link
2191,KHBD GIÁO ÁN WORD SÁCH CHUYÊN ĐỀ – SINH HỌC 12- CẢ NĂM - [KẾT NỐI TRI THỨC],sinh-hoc-12,sinh-hoc,399000,20412,https://drive.google.com/drive/folders/1QpjNMeoG5J2tTz2AI3DEs0NjkoGCge56?usp=drive_link
2192,POWER POINT SÁCH CHUYÊN ĐỀ – SINH HỌC 12- CẢ NĂM - [KẾT NỐI TRI THỨC],sinh-hoc-12,sinh-hoc,399000,20411,https://drive.google.com/drive/folders/1nrsgvlWnTOuteNtfWz0t-xCpTlDWae6N?usp=drive_link
2193,KHBD GIÁO ÁN WORD CHÍNH KHÓA – SINH HỌC 12- CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],sinh-hoc-12,sinh-hoc,399000,20410,https://drive.google.com/drive/folders/14KK-kBu3VClHBChi5yBS2TjXp9Mz85eF?usp=drive_link
2194,POWER POINT CHÍNH KHÓA – SINH HỌC 12- CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],sinh-hoc-12,sinh-hoc,499000,20409,https://drive.google.com/drive/folders/19XYPT4YRz7EfrvYOBpDIRu3MwyNjIapM?usp=drive_link
2195,KHBD GIÁO ÁN WORD SÁCH CHUYÊN ĐỀ – SINH HỌC 12- CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],sinh-hoc-12,sinh-hoc,399000,20408,https://drive.google.com/drive/folders/1NwIerQoH-yvyehjLlYZ6qDZGhFflVNJu?usp=drive_link
2196,POWER POINT SÁCH CHUYÊN ĐỀ – SINH HỌC 12- CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],sinh-hoc-12,sinh-hoc,399000,20407,https://drive.google.com/drive/folders/12Nvd_aFASmLgFM4-yvo_Bnp9kPGg5Yb1?usp=drive_link
2197,KHBD GIÁO ÁN WORD CHÍNH KHÓA – SINH HỌC 12- CẢ NĂM - [CÁNH DIỀU],sinh-hoc-12,sinh-hoc,399000,20406,https://drive.google.com/drive/folders/1IBi5oyET9-jWMhI1tGaPMzaVIVCGGdhb?usp=drive_link
2198,POWER POINT CHÍNH KHÓA – SINH HỌC 12- CẢ NĂM - [CÁNH DIỀU],sinh-hoc-12,sinh-hoc,499000,20405,https://drive.google.com/drive/folders/15dwwWBtvVT0z-6q4KRTWx4achEnhn_Ba?usp=drive_link
2199,KHBD GIÁO ÁN WORD SÁCH CHUYÊN ĐỀ – SINH HỌC 12- CẢ NĂM - [CÁNH DIỀU],sinh-hoc-12,sinh-hoc,399000,20404,https://drive.google.com/drive/folders/1CnwVUcQMkSzZbiLvAhFrVKpGBVZp4BXm?usp=drive_link
2200,POWER POINT SÁCH CHUYÊN ĐỀ – SINH HỌC 12- CẢ NĂM - [CÁNH DIỀU],sinh-hoc-12,sinh-hoc,399000,20403,https://drive.google.com/drive/folders/1ujU6q9uO3SJrWNQl3tC8ZtA-XPv7rlIA?usp=drive_link
2202,[Chuyên đề] - CĐ SINH 12 - Soạn bởi nhóm giáo viên chuyên Sư Phạm.rar,sinh-hoc-12,sinh-hoc,399000,657,https://drive.google.com/drive/folders/1sAcJv3OZG5YCf4DuYwSw8o3BZx9f5eNl?usp=drive_link
2203,[Chuyên đề] - CĐ 4 mức độ SINH 12 - Soạn bởi nhóm giáo viên chuyên.zip,sinh-hoc-12,sinh-hoc,399000,656,https://drive.google.com/drive/folders/1CaiPZhm72G9fNJWe6YIsJjKUQ7U5f3KL?usp=sharing
2204,[Chuyên đề] - Các chuyên đề bám sát đề thi THPTQG Môn Sinh học - Phan Khắc Nghệ.zip,sinh-hoc-12,sinh-hoc,299000,655,https://drive.google.com/drive/folders/1oXmcMMvbNYE0jlNQ3BAB1SI8N1aZa4jd?usp=sharing
2205,[Chuyên đề] - Chinh Phục câu hỏi lý thuyết sinh học theo chủ đề - Phan Khắc Nghệ - [File Word].zip,sinh-hoc-12,sinh-hoc,199000,654,https://drive.google.com/drive/folders/1hqlHUWqjvy_yqVgR7-Kdn8koVA1KxXi2?usp=sharing
2206,[Chuyên đề] - Phương pháp giải các dạng bài toán sinh học trong kì thi giải toán trên Máy Tính Cầm tay - Phan Khắc Nghệ - [File Word].zip,sinh-hoc-12,sinh-hoc,199000,653,https://drive.google.com/drive/folders/1kG3udTSqHDUH8gADlBUUbri6b5IPWdqb?usp=sharing
2207,[Chuyên đề] - Phương pháp giải toán xác suất Sinh Học - Phan Khắc Nghệ - [File Word].zip,sinh-hoc-12,sinh-hoc,199000,652,https://drive.google.com/drive/folders/1nrOuiroZwHq8is4PDEquCXL9qUOOyQyT?usp=sharing
2208,[Chuyên đề] - Phương Pháp học nhanh Sinh Học THPT Quốc Gia Tập 1 Tác giả Nguyễn Dung - Vũ Hải - Phạm Hương.rar,sinh-hoc-12,sinh-hoc,99000,651,https://drive.google.com/open?id=1oJVnEnBdzg-GnHnl3r5Ny546MjbTBIlO
2209,[Chuyên đề] - Phương Pháp học nhanh Sinh Học THPT Quốc Gia Tập 2 Tác giả Nguyễn Dung - Vũ Hải - Phạm Hương.rar,sinh-hoc-12,sinh-hoc,99000,650,https://drive.google.com/open?id=1-b1jqcNuC8JtwGltGfY7L7ULo6NCXnSr
2210,[Chuyên đề] - Phương pháp mới giải nhanh bài tập di truyền - Phan Khắc Nghệ - [File Word].zip,sinh-hoc-12,sinh-hoc,199000,649,https://drive.google.com/drive/folders/1PHjqRIEyRk2L2XyxAH3sC93piSCp3Ixy?usp=sharing
2211,[Chuyên đề] - Vận Dụng Kiến Thức Liên Môn Trong Giải Bài Tập Sinh Học - Huỳnh Thanh Thảo - [File Word].zip,sinh-hoc-12,sinh-hoc,199000,648,https://drive.google.com/drive/folders/1Sr6PwGlcZmUS0_0bAHpLRzplwjWnFcmV?usp=sharing
2212,"[Chuyên đề] - Bộ tài liệu, chuyên đề ôn thi THPTQG 8, 9, 10 điểm môn Sinh Học 2019 - [File Word].zip",sinh-hoc-12,sinh-hoc,99000,647,https://drive.google.com/drive/folders/1h0pkMvNxPb5muG_lHE16EZ7hUxI-52kk?usp=sharing
2213,[Bài tập] - 1900 câu hỏi trắc nghiệm môn Sinh Học chọn lọc theo mức độ vận dụng kèm lời giải chi tiết - [File Word].zip,sinh-hoc-12,sinh-hoc,199000,646,https://drive.google.com/drive/folders/1fVgzDKeYiX6Xypo-v8wbbYs_k3Q49UFo?usp=sharing
2214,"[Bài tập] - 15,000 bài tập trắc nghiệm Sinh Học theo chuyên đề tách từ đề thi thử 2018 - [File Word].zip",sinh-hoc-12,sinh-hoc,99000,645,https://drive.google.com/drive/folders/1V4RanBadRQ72ru_5diGlSsH6QSlJkgE9?usp=sharing
2215,"[Bài tập] - 14,000 bài tập theo chuyên đề Sinh tách từ đề thi thử 2019 - [File Word].zip",sinh-hoc-12,sinh-hoc,99000,644,https://drive.google.com/drive/folders/1blp64t4ScTSsIMSrWQ-nMbHddB2z52Uw?usp=sharing
2216,Đề thi HK1 môn Sinh lớp 12 Trường THPT Yên Lạc 2 - Vĩnh Phúc - Mã đề 178 năm học 2019-2020 (có lời giải chi tiết).doc,sinh-hoc-12,sinh-hoc,2000,643,https://drive.google.com/file/d/1I0UxOhC41-A1IluE4HAYV2vvIxMShmo2/view?usp=sharing
2217,Đề thi HK1 môn Sinh lớp 12 Trường THPT Sơn Mỹ - Quảng Ngãi năm học 2019-2020 (có lời giải chi tiết).doc,sinh-hoc-12,sinh-hoc,2000,642,https://drive.google.com/file/d/15JR28iXpBYXTH9aEnib_M81Xi8EOiBYH/view?usp=sharing
2218,Đề thi HK1 môn Sinh lớp 12 trường THPT Nguyễn Thiện Thuật - Khánh Hòa năm học 2019-2020 (có lời giải chi tiết).doc,sinh-hoc-12,sinh-hoc,2000,641,https://drive.google.com/file/d/1MaqeJbgwvstadz32j7Ua9dHBQXSMA-QT/view?usp=sharing
2219,Đề thi HK1 môn Sinh lớp 12 trường THPT Ngô Quyền - Hải Phòng năm học 2019-2020 (có lời giải chi tiết).doc,sinh-hoc-12,sinh-hoc,2000,640,https://drive.google.com/file/d/1nru_5kThwAZtHxm7TxyuH8eA0QgWDX70/view?usp=sharing
2220,Đề thi HK1 môn Sinh lớp 12 trường THPT Nghèn - Hà Tĩnh năm học 2019-2020 (có lời giải chi tiết).doc,sinh-hoc-12,sinh-hoc,2000,639,https://drive.google.com/file/d/1HJGTlLhzTQhUUOc5-jIxsMk1o_wSC-Cy/view?usp=sharing
2221,Đề thi HK1 môn Sinh lớp 12 Trường THPT Chuyên Lương Thế Vinh - Đồng Nai năm học 2019-2020 (có lời giải chi tiết).doc,sinh-hoc-12,sinh-hoc,2000,638,https://drive.google.com/file/d/153cVmBCfoFLzOQjlCLcw1_i6h3Ovj6U4/view?usp=sharing
